time,filter,preprocess,model,epoch,test_volunteers,train_volunteers,auc,accuracy,precision,sensitivity,specificity,f1,group,sample,misinformation,missing_group,misinformation_group
2022/10/28 12:03,butterworth0.2,pca_stft,resnet50,50,"[19, 2, 20, 9, 11, 18, 7, 14, 5, 3]","[6, 15, 10, 8, 17, 12, 4, 1, 16, 13]",0.99834,0.99423,0.92714,0.96102,0.99599,0.94378,120,17396,52,2,10
2022/10/28 14:14,butterworth0.2,pca_stft,resnet50,50,"[20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13]","[19, 2]",0.96909,0.96137,0.58481,0.85166,0.9673,0.69345,216,31356,796,3,91
2022/10/28 16:26,butterworth0.2,pca_stft,resnet50,50,"[11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2]","[20, 9]",0.99037,0.97821,0.74148,0.87584,0.98368,0.80308,216,31331,465,1,37
2022/10/28 18:32,butterworth0.2,pca_stft,resnet50,50,"[7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9]","[11, 18]",0.98901,0.97269,0.66586,0.92685,0.97514,0.77497,216,31301,706,1,66
2022/10/28 20:34,butterworth0.2,pca_stft,resnet50,50,"[5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18]","[7, 14]",0.98585,0.96643,0.60902,0.94359,0.96765,0.74025,216,31320,949,1,89
2022/10/28 22:39,butterworth0.2,pca_stft,resnet50,50,"[6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14]","[5, 3]",0.98635,0.98163,0.90256,0.72903,0.99564,0.80657,216,31351,83,4,23
2022/10/29 0:49,butterworth0.2,pca_stft,resnet50,50,"[10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3]","[6, 15]",0.9921,0.98159,0.77059,0.9165,0.98514,0.83724,216,31351,358,1,70
2022/10/29 2:54,butterworth0.2,pca_stft,resnet50,50,"[17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15]","[10, 8]",0.99155,0.97425,0.67676,0.93649,0.97626,0.78571,216,31349,639,1,50
2022/10/29 5:06,butterworth0.2,pca_stft,resnet50,50,"[4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8]","[17, 12]",0.98646,0.97552,0.71334,0.8651,0.98142,0.78192,216,31298,498,4,54
2022/10/29 7:17,butterworth0.2,pca_stft,resnet50,50,"[16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12]","[4, 1]",0.99077,0.98461,0.91453,0.77434,0.99606,0.83862,216,31309,99,6,28
2022/10/29 9:32,butterworth0.2,pca_stft,resnet50,50,"[19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1]","[16, 13]",0.99338,0.97487,0.68094,0.94966,0.97622,0.79316,216,31333,583,0,56
